dataset,model,metric,mean,std,coef_var
China,DummyMean,MAE,3700.583230466317,390.3575784309605,0.10548542057266902
China,DummyMean,RMSE,6362.262567377881,1263.9810297567033,0.19866847939217464
China,DummyMean,MdAE,2794.511521428572,213.08301650544985,0.07625054141689777
China,DummyMean,MASE,1.1972403836869554,0.17599425720023398,0.14699993261858782
China,DummyMean,MdASE,2.12582487901254,0.13846957333199023,0.06513686712752258
China,DummyMedian,MAE,3118.7820707070705,513.9243367792609,0.16478366398364583
China,DummyMedian,RMSE,6659.166163160298,1363.113775550558,0.20469736632936134
China,DummyMedian,MdAE,1323.27,92.975491932014,0.070261920795689
China,DummyMedian,MASE,1.0118091122446755,0.2102799331551485,0.207825694127611
China,DummyMedian,MdASE,1.0093004493795865,0.09251642548060834,0.09166390901821037
China,ElasticNet,MAE,7435.452419972315,22369.0935097845,3.0084374488994046
China,ElasticNet,RMSE,50262.410406292845,220702.41161643906,4.391003332955223
China,ElasticNet,MdAE,1196.607766184367,90.37501530218617,0.07552601433434657
China,ElasticNet,MASE,2.429838045214306,7.38849676920683,3.0407362965410396
China,ElasticNet,MdASE,0.9135420908388678,0.09488634394820918,0.10386641607549228
China,GradientBoosting,MAE,2378.3012820083923,410.6710813224369,0.17267412014928268
China,GradientBoosting,RMSE,5043.250075754683,1237.9397653847184,0.2454646798765012
China,GradientBoosting,MdAE,911.4019863924003,156.17360443305765,0.17135534787402165
China,GradientBoosting,MASE,0.7702778786372387,0.1591554810280933,0.20662086160835824
China,GradientBoosting,MdASE,0.6977851559780416,0.14043516822901406,0.20125846044917695
China,RandomForest,MAE,2339.2923759168243,376.7734113293248,0.16106298434801153
China,RandomForest,RMSE,4962.050713137446,1093.2371727653613,0.22031962911397113
China,RandomForest,MdAE,863.5777326235598,151.26759404029164,0.17516384260972917
China,RandomForest,MASE,0.7578751269616213,0.15072645999134582,0.19888033350139916
China,RandomForest,MdASE,0.6606334346596001,0.13340433558563022,0.20193397210516417
China,TabDPT,MAE,2301.810218771362,385.4717802504853,0.1674646228890947
